应用名称;原文档中的应用地址;实际访问的应用地址;访问地址是否等于文档所给地址;访问状态;应用在政务网是否存在;应用名称与页面是否匹配;截图相对路径
全省中小学教师系列高级职称评审;http://gszcxt.cn/zcxt;http://gszcxt.cn/zcxt;一致;200;应用存在;匹配;pics\2022_06_07_17_20_58\全省中小学教师系列高级职称评审.png;
甘肃电力-用电用户取消峰谷电;https://zwfw.gansu.gov.cn/api/sso/loginTrust?backUrl=https://osg-static.sgcc.com.cn/zwfwz/ganSuZw/pc/configIndex?areaCode=620000&userType=1;https://osg-static.sgcc.com.cn/zwfwz/ganSuZw/pc/configIndex?areaCode=620000&userType=1&code=90000&ticket=naturalTicket11133615186811455647467365607982&authCode=OUqE2HohH2N1bHVGry03OUyDGiylfbZD5M&flag=true;不一致;200;应用存在;不匹配;pics\2022_06_07_17_20_58\甘肃电力-用电用户取消峰谷电.png;
赴台探亲签注签发;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb206e0;https://zwfw.gat.gansu.gov.cn/gsgazw/templates/pages/banshi/index?id=ff80808162f80c710162fa81ffb206e0;一致;200;应用存在;不匹配;pics\2022_06_07_17_20_58\赴台探亲签注签发.png;
领取因工死亡职工供养亲属待遇资格认证;https://wsbs.rst.gansu.gov.cn/index;https://login.gjzwfw.gov.cn/tacs-uc/sso/upGrade;不一致;302;应用存在;None;pics\2022_06_07_17_20_58\领取因工死亡职工供养亲属待遇资格认证.png;
甘肃电力-个人充电装报装;https://zwfw.gansu.gov.cn/api/sso/loginTrust?backUrl=https://osg-static.sgcc.com.cn/zwfwz/ganSuZw/pc/configIndex?areaCode=620000&userType=1;https://osg-static.sgcc.com.cn/zwfwz/ganSuZw/pc/configIndex?areaCode=620000&userType=1&code=90000&ticket=naturalTicket02580757212695329941882111012761&authCode=OUqE2HohH2N1bHVGry03OUyDGiylfbZD5M&flag=true;不一致;200;应用存在;不匹配;pics\2022_06_07_17_20_58\甘肃电力-个人充电装报装.png;
异常选号资料修改;https://gs.122.gov.cn;https://gs.122.gov.cn/;不一致;200;应用存在;不匹配;pics\2022_06_07_17_20_58\异常选号资料修改.png;
异地长期居住人员备案;https://ybdzpz.ylbz.gansu.gov.cn/hsa-local-prod/web/hallEnter/?channel=zwfw&toPath=OffsetRecord&type=1;https://ybdzpz.ylbz.gansu.gov.cn/hsa-local-prod/web/hallPersonal/#/OffsetRecord;不一致;200;应用存在;不匹配;pics\2022_06_07_17_20_58\异地长期居住人员备案.png;
全省生态环境质量信息服务;https://zwfw.sthj.gansu.gov.cn/approvalVue/#/processProgress?taskCode=1162000001389739812622016001000;https://zwfw.sthj.gansu.gov.cn/approvalVue/#/processProgress?taskCode=1162000001389739812622016001000;一致;200;应用存在;匹配;pics\2022_06_07_17_20_58\全省生态环境质量信息服务.png;
二级注册消防工程师注册审批;https://shhxf.119.gov.cn/homepage;https://shhxf.119.gov.cn/templet/index_7.jsp;不一致;200;应用存在;匹配;pics\2022_06_07_17_20_58\二级注册消防工程师注册审批.png;
申办技能大师工作室建设项目;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014206003/002014206003;https://wsbs.rst.gansu.gov.cn/dn/detail/3/1162000001389768942002014206003/002014206003;一致;200;应用存在;匹配;pics\2022_06_07_17_20_58\申办技能大师工作室建设项目.png;
